Current,Voltage,Resistance
-3.0952380952380953e-06,-0.005722633252192697,1619.859263360506
-7.142857142857148e-07,-0.0011568560243768356,1619.859263360506
1.1904761904761897e-06,0.001358342387123317,1619.859263360506
3.57142857142857e-06,0.001358342387123317,1619.859263360506
4.999999999999999e-06,0.00393141441886211,1619.859263360506
2.6190476190476184e-06,0.007381975270164326,1619.859263360506
7.14285714285714e-07,0.005350669687924005,1619.859263360506
-1.6666666666666667e-06,-0.0028149805725614365,1619.859263360506
-3.571428571428571e-06,-0.0028149805725614365,1619.859263360506
-4.9999999999999996e-06,-0.004501050218043014,1619.859263360506
-4.9999999999999996e-06,-0.007769588048769457,1619.859263360506
-4.9999999999999996e-06,-0.008098910403794552,1619.859263360506
-4.9999999999999996e-06,-0.00809929631680253,1619.859263360506
-4.9999999999999996e-06,-0.008098701390847882,1619.859263360506
-4.9999999999999996e-06,-0.008098862973777744,1619.859263360506
-4.9999999999999996e-06,-0.008098114812240886,1619.859263360506
-4.9999999999999996e-06,-0.008098177602699975,1619.859263360506
-4.9999999999999996e-06,-0.008098400344248597,1619.859263360506
-4.9999999999999996e-06,-0.008098400344248597,1619.859263360506
-4.9999999999999996e-06,-0.00809911288379139,1619.859263360506
-4.9999999999999996e-06,-0.008099109221930497,1619.859263360506
-4.9999999999999996e-06,-0.008099254636414937,1619.859263360506
